id	area	session	status	script	results	question
e09	01_method	S1	established	scripts/e09_residual_alignment.py	results/e09_*.json	Is alignment left in the k=64 OMP residual?
e10	01_method	S1	established	scripts/e10_phase.py	results/e10_*.json	Is identification limited by budget k or dictionary size m?
e11	03_increments_depth_targets	S1	mixed (v1 retracted)	scripts/e11_peeling.py	results/e11_*.json	Do attention writes interfere with reading MLP writes?
e12	01_method	S1	narrowed (by e52)	scripts/e12_shrinkage.py	results/e12_*.json	Can a fitted calibration remove coefficient error?
e13	04_attention	S1	refuted (5 models)	scripts/e13_heads.py	results/e13_*.json	Do static head SVD atoms read attention writes?
e15	01_method	S1	null	scripts/e15_composition.py	results/e15_*.json	Are read directions sparse in earlier blocks' write atoms?
e16	01_method	S1	supported (3 models)	scripts/e16_atoms_over_atoms.py	results/e16_*.json	How sparse is each atom in the other atoms?
e17	01_method	S1	supported (diagnostic)	scripts/e17_diagnostics.py	results/e17_*.json	Where does recall fail: position, frequency, sign or birth block?
e18	01_method	S1	tool (instrument check)	scripts/e18_noise.py	results/e18_*.json	How robust is identification to noise and foreign-state mixing?
e20	10_sinks_huge_directions	S1	established (Pythia partial)	scripts/e20_sinks.py	results/e20_*.json	Which atoms reconstruct the sink states?
e21	03_increments_depth_targets	S1	established (not erasure in GPT-2/SmolLM2)	scripts/e21_lifetime.py	results/e21_*.json	How long does a write stay identifiable as depth grows?
e22	03_increments_depth_targets	S1	established	scripts/e22_birth_matrix.py	results/e22_*.json	Is the depth collapse late-born writes or erased old writes?
e23	02_readability_law	S1	refuted	scripts/e23_context_copy.py	results/e23_*.json	Are selected token-embedding atoms attention copies of context tokens?
e24	02_readability_law	S1	supported (2 models)	scripts/e24_transfer.py	results/e24_*.json	Does a neuron's identifiability transfer from WikiText to the Pile?
e25	03_increments_depth_targets	S1	established (trajectory: e436)	scripts/e25_ledger_sparsity.py	results/e25_*.json	How sparse is the true-write ledger, and is that learned?
e30	02_readability_law	S1	refuted (one dose; killed for time)	scripts/e30_injection.py	results/e30_*.json	Is the never-identified class a magnitude effect?
e40	02_readability_law	S1	refuted	scripts/e40_vocab.py	results/e40_*.json	Do readable and unreadable neurons differ in vocabulary space?
e41	02_readability_law	S1	narrowed (audit null: GPT-2 only)	scripts/e41_alias.py	results/e41_*.json	When the dominant write is missed, is it read under an alias?
e42	02_readability_law	S1	supported	scripts/e42_dict_ablation.py	results/e42_*.json	Which atom types do the explaining-away?
e43	01_method	S1	supported (2 models)	scripts/e43_pca_levels.py	results/e43_*.json	Does the weight dictionary beat PCA at every depth?
e44	03_increments_depth_targets	S1	established (budget caveat: audit)	scripts/e44_delta_pipeline.py	results/e44_*.json	Does the increment pipeline beat global OMP at a matched budget?
e45	01_method	S1	established	scripts/e45_solver2.py	results/e45_*.json	Can one solver identify like LASSO and reconstruct like OMP?
e46	02_readability_law	S1	mixed (groups n=4-7)	scripts/e46_never_by_solver.py	results/e46_*.json	Is the never-identified class solver-limited or state-limited?
e47	03_increments_depth_targets	S1	superseded by e119	scripts/e47_targets.py	results/e47_*.json	Which target should identification be scored against?
e48	01_method	S1	refuted	scripts/e48_errorbars.py	results/e48_*.json	Do least-squares standard errors predict coefficient error?
e49	03_increments_depth_targets	S1	established	scripts/e49_dual_layers.py	results/e49_*.json	Is the depth collapse a solver artifact or a state property?
e51	01_method	S1	established	scripts/e51_recall_curve.py	results/e51_*.json	At which greedy step is the dominant write picked?
e52	01_method	S1	established	scripts/e52_within_neuron.py	results/e52_*.json	Does the recovered coefficient track the true one within a neuron?
e53	04_attention	S1	supported (GPT-2)	scripts/e53_ov_atoms.py	results/e53_*.json	Do per-head OV value atoms read a head's write?
e54	04_attention	S1	mixed (magnitude corrected by audit)	scripts/e54_attention_dc.py	results/e54_*.json	How much of each head's write is a constant (DC) part?
e55	10_sinks_huge_directions	S1	established	scripts/e55_sink_killer.py	results/e55_*.json	Which component removes the sink in the last blocks?
e56	02_readability_law	S1	established (framing: audit)	scripts/e56_prominence_curve.py	results/e56_*.json	Does identification follow a write's prominence?
e57	02_readability_law	S1	superseded by e127 (audit)	scripts/e57_threshold_law.py	results/e57_*.json	Does the 50% recall crossing sit at the dictionary's noise floor?
e58	02_readability_law	S1	narrowed (audit)	scripts/e58_law_test.py	results/e58_*.json	Does the floor predict identification at every level, out of sample?
e59	02_readability_law	S1	refuted (audit: small groups)	scripts/e59_importance.py	results/e59_*.json	Are readable neurons the causally important ones?
e59b	02_readability_law	S1	refuted	scripts/e59b_importance_rank.py	results/e59b_*.json	Does ablation cost rank with a neuron's identification rate?
e60	02_readability_law	S1	established (causal for OMP)	scripts/e60_intervene.py	results/e60_*.json	Is prominence causal for identification at the token level?
e61	01_method	S1	retracted (trivial measure)	scripts/e61_nullspace.py	results/e61_*.json	How much ledger energy lies in the dictionary's null space?
e62	02_readability_law	S1	supported	scripts/e62_threshold_offset.py	results/e62_*.json	Which competitor level sets the identification threshold?
e63	01_method	S1	established	scripts/e63_spark.py	results/e63_*.json	Is the identification ceiling a non-uniqueness of the true support?
e65	01_method	S1	established	scripts/e65_wiener.py	results/e65_*.json	How much of each write is linearly readable from the state?
e74	01_method	S1	established	scripts/e74_residual_ledger.py	results/e74_*.json	What does the k=64 OMP residual contain?
e76	03_increments_depth_targets	S1	refuted	scripts/e76_recovered_survival.py	results/e76_*.json	Does WDD's own survival reading track a write's true fate?
e77	03_increments_depth_targets	S1	mixed	scripts/e77_targeted.py	results/e77_*.json	Is the limit other blocks' atoms or cancellation?
e80	01_method	S1	supported (GPT-2)	scripts/e80_wrong_model.py	results/e80_*.json	Is provenance the trained checkpoint's or the architecture's?
e81	12_circuits_coselection_drift	S1	supported (Pythia only)	scripts/e81_ckpt_drift.py	results/e81_*.json	How stable are MLP write directions late in Pythia training?
e87	05_cancellation_contraction	S1	refuted	scripts/e87_coactive.py	results/e87_*.json	Do a token's dominant writes cancel each other?
e89	10_sinks_huge_directions	S1	mixed (sparse in 2/5)	scripts/e89_mean_atoms.py	results/e89_*.json	What is the centring mean made of?
e93	01_method	S1	supported (4 of 5)	scripts/e93_iht.py	results/e93_*.json	Does hard-thresholding pursuit repeat the identification-reconstruction trade-off?
e95	01_method	S1	supported (2 models)	scripts/e95_calib_transfer.py	results/e95_*.json	Does the coefficient calibration transfer across corpora?
e101	01_method	S1	refuted	scripts/e101_coselection.py	results/e101_*.json	Does support co-selection recover true co-firing structure?
e102	01_method	S1	refuted	scripts/e102_fillers.py	results/e102_*.json	Is there a fixed set of filler atoms to prune?
e104	03_increments_depth_targets	S1	null	scripts/e104_increment_over_past.py	results/e104_*.json	Does a block re-write directions that earlier blocks own?
e105	01_method	S1	established	scripts/e105_splice.py	results/e105_*.json	Which reading preserves the model's function when spliced back?
e106	03_increments_depth_targets	S1	supported (GPT-2 narrated)	scripts/e106_increment_residual.py	results/e106_*.json	What does increment reading leave unexplained?
e114	03_increments_depth_targets	S1	mixed (random-floor form)	scripts/e114_increment_law.py	results/e114_*.json	Does the random-floor law hold inside block increments?
e116	01_method	S1	supported (own-span column retracted)	scripts/e116_late_atoms.py	results/e116_*.json	Where do MLP write directions live relative to other atoms?
e117	03_increments_depth_targets	S1	mixed	scripts/e117_extended_embedding.py	results/e117_*.json	Is the block-0 MLP write an extended token embedding?
e118	02_readability_law	S1	established	scripts/e118_aniso_floor.py	results/e118_*.json	Is the 'structured competition' just the state covariance?
e119	03_increments_depth_targets	S1	established (audit follow-up)	scripts/e119_target_rank.py	results/e119_*.json	How well is a non-circular target read?
e120	10_sinks_huge_directions	S1	refuted (a caveat, not a change)	scripts/e120_typical_centering.py	results/e120_*.json	Does the sink-contaminated centring mean change identification?
e122	01_method	S1	established	scripts/e122_second_pass.py	results/e122_*.json	Does a second OMP pass on the residual find true writes?
e126	10_sinks_huge_directions	S1	supported	scripts/e126_sink_atom_in_typical.py	results/e126_*.json	Does the sink neuron's atom sit in typical supports?
e127	02_readability_law	S2	established	scripts/e127_corrected_law.py	results/e127_*.json	Does a covariance-matched 64th-order threshold remove the law's bias?
e128	03_increments_depth_targets	S2	established	scripts/e128_honest_depth.py	results/e128_*.json	How does reading the largest surviving write change with depth?
e129	02_readability_law	S2	established	scripts/e129_heldout_law.py	results/e129_*.json	Does the corrected law hold held out, with zero parameters?
e130	02_readability_law	S2	established	scripts/e130_neuron_phenotype.py	results/e130_*.json	What does 'identifiability is a neuron property' mean?
e131	03_increments_depth_targets	S2	established	scripts/e131_survival_curve.py	results/e131_*.json	Where is provenance lost: at the write, increment or state?
e132	04_attention	S2	supported (GPT-2 pilot)	scripts/e132_attn_chain.py	results/e132_*.json	Does WDD track attention-mediated changes of downstream MLP writes?
e140	05_cancellation_contraction	S2	mixed	scripts/e140_consumption.py	results/e140_*.json	Are erased writes the ones the next block reads?
e141	05_cancellation_contraction	S2	established (diffuse)	scripts/e141_eraser.py	results/e141_*.json	Is cancellation concentrated in one opposing neuron?
e142	12_circuits_coselection_drift	S2	supported (Pythia; log only)	scripts/e142_phenotype_training.py	results/e142_*.json	Is a neuron's identifiability stable across late Pythia checkpoints?
e143	04_attention	S2	supported (GPT-2)	scripts/e143_increment_ov.py	results/e143_*.json	Do value atoms make attention attributable inside the block increment?
e144	03_increments_depth_targets	S2	established	scripts/e144_guided.py	results/e144_*.json	Does restricting state OMP to increment-nominated atoms help?
e145	04_attention	S2	refuted	scripts/e145_head_subspaces.py	results/e145_*.json	Do MLP write directions live inside single head output subspaces?
e146	03_increments_depth_targets	S2	established	scripts/e146_token_vs_context.py	results/e146_*.json	How much of the dominant write does the token id decide?
e147	03_increments_depth_targets	S2	established (4/5)	scripts/e147_increment_phenotype.py	results/e147_*.json	Are state-level never-neurons readable in their own increments?
e150	04_attention	S2	refuted	scripts/e150_hookfree_attention.py	results/e150_*.json	Can attention patterns be read from hidden states without hooks?
e151	01_method	S2	established	scripts/e151_support_code.py	results/e151_*.json	Does the 64-atom support preserve the state's predictive geometry?
e152	03_increments_depth_targets	S2	established	scripts/e152_functional_split.py	results/e152_*.json	Which part of WDD's reconstruction costs most when removed?
e153	11_toys_synthetic	S2	supported (toy)	scripts/e153_toy_superposition.py	results/e153_*.json	Does the prominence law hold in the superposition toy?
e154	01_method	S2	supported	scripts/e154_reweighted.py	results/e154_*.json	Does reweighted l1 fix LASSO's shrinkage without losing identification?
e155	02_readability_law	S2	mixed	scripts/e155_confidence.py	results/e155_*.json	Are writes more readable when the model is confident?
e156	03_increments_depth_targets	S2	established	scripts/e156_gradient.py	results/e156_*.json	Are the loss-sensitive writes the ones WDD reads?
e157	01_method	S2	mixed	scripts/e157_last_level.py	results/e157_*.json	At the last level, does WDD act as a logit lens?
e158	01_method	S2	mixed	scripts/e158_mdl.py	results/e158_*.json	Is the model's dictionary a shorter code than PCA?
e159	03_increments_depth_targets	S2	established	scripts/e159_guided_front.py	results/e159_*.json	What does increment-guided decoding cost in function?
e160	03_increments_depth_targets	S2	established	scripts/e160_perwrite_ablation.py	results/e160_*.json	Do single-write ablations match first-order attribution?
e161	02_readability_law	S2	supported (GPT-2, SmolLM2)	scripts/e161_uncertainty.py	results/e161_*.json	Why are uncertain tokens more readable?
e162	03_increments_depth_targets	S2	supported (weak in Qwen)	scripts/e162_differential.py	results/e162_*.json	Does differencing two contexts of a token expose contextual writes?
e165	03_increments_depth_targets	S2	narrowed (4/5; OLMo reverses)	scripts/e165_readable_vs_unreadable.py	results/e165_*.json	Do identified writes carry more function than unidentified ones?
e166	03_increments_depth_targets	S2	established	scripts/e166_stream_recon.py	results/e166_*.json	How much function do summed increment reconstructions keep?
e167	03_increments_depth_targets	S2	established	scripts/e167_predict_survival.py	results/e167_*.json	Does the law predict the provenance-survival curve without fitting?
e168	03_increments_depth_targets	S2	refuted	scripts/e168_peel_increments.py	results/e168_*.json	Does peeling off early increments help read later writes?
e169	01_method	S2	supported (2 models)	scripts/e169_code_budget.py	results/e169_*.json	How small a support preserves the predictive geometry?
e170	10_sinks_huge_directions	S2	refuted	scripts/e170_offchannel.py	results/e170_*.json	Is GPT-2's within-block unreadability the massive-channel dynamics?
e171	11_toys_synthetic	S2	refuted	scripts/e171_toy_twolayer.py	results/e171_*.json	Does one extra residual block decouple readability from importance?
e172	02_readability_law	S2	tool	scripts/e172_certificate.py	results/e172_*.json	Can per-neuron observability be tabulated as a certificate?
e173	05_cancellation_contraction	S2	narrowed (direct effect only; e183, e194)	scripts/e173_erasure_matrix.py	results/e173_*.json	Which blocks cancel which blocks' writes (the erasure matrix)?
e174	11_toys_synthetic	S2	refuted	scripts/e174_toy_redundancy.py	results/e174_*.json	Do twin re-writes (the s1f regime) decouple readability from importance?
e175	11_toys_synthetic	S2	supported (toy)	scripts/e175_toy_multiblock.py	results/e175_*.json	Does depth (many residual blocks) reproduce the real phenomenology?
e176	11_toys_synthetic	S2	supported (toy)	scripts/e176_toy_survival.py	results/e176_*.json	Is the toy's lost provenance aliased by twins or swamped?
e177	11_toys_synthetic	S2	supported (toy)	scripts/e177_toy_guided.py	results/e177_*.json	Can increment-guided decoding undo the swamping?
e178	02_readability_law	S2	established	scripts/e178_dual_law.py	results/e178_*.json	Does the law predict the dual decoder's reading?
e180	02_readability_law	S2	refuted	scripts/e180_self_certificate.py	results/e180_*.json	Can a residual-based self-certificate flag real atoms without the ledger?
e181	02_readability_law	S2	established (GPT-2 aliases)	scripts/e181_miss_anatomy.py	results/e181_*.json	Are missed writes aliased by a twin or swamped?
e183	05_cancellation_contraction	S3	refuted (wired eraser)	scripts/e183_eraser_ablation.py	results/e183_*.json	Does ablating the next block's MLP restore cancelled writes?
e185	05_cancellation_contraction	S3	refuted (dedicated erasers)	scripts/e185_canceller_anatomy.py	results/e185_*.json	Is the canceller a few dedicated neurons or a crowd?
e186	05_cancellation_contraction	S3	supported (3 models)	scripts/e186_hydra_eraser.py	results/e186_*.json	When the next block's MLP is ablated, who cancels instead?
e187	05_cancellation_contraction	S3	mixed (GPT-2 within-block)	scripts/e187_static_eraser.py	results/e187_*.json	Is the cancellation topology visible in the weights alone?
e188	05_cancellation_contraction	S3	superseded by e193	scripts/e188_survival_distance.py	results/e188_*.json	How does a write's raw survival change with depth?
e189	02_readability_law	S3	supported (3 models)	scripts/e189_null_atoms.py	results/e189_*.json	Are atoms of an ablated block still selected (known-null control)?
e190	11_toys_synthetic	S3	refuted (H6e killed)	scripts/e190_toy_erasure.py	results/e190_*.json	Does the six-block toy reproduce erasure or the contraction?
e191	05_cancellation_contraction	S3	narrowed (gain-like in 3/5)	scripts/e191_cancel_magnitude.py	results/e191_*.json	Is cancellation proportional to the write's size (gain-like)?
e192	05_cancellation_contraction	S3	refuted	scripts/e192_bias_eraser.py	results/e192_*.json	Is Pythia's constant-offset cancellation the MLP output bias?
e193	05_cancellation_contraction	S3	established	scripts/e193_centered_survival.py	results/e193_*.json	Does the depth profile of survival hold on centred states?
e194	05_cancellation_contraction	S3	established (reframed by e221)	scripts/e194_linear_response.py	results/e194_*.json	Is the next-block cancellation a local linear gain?
e195	02_readability_law	S3	established	scripts/e195_stability_selection.py	results/e195_*.json	Does stability selection under input noise certify real atoms?
e196	02_readability_law	S3	supported (strength varies)	scripts/e196_selection_prior.py	results/e196_*.json	Does selection on covariance-matched noise predict selection on real states?
e197	05_cancellation_contraction	S3	mixed	scripts/e197_echo.py	results/e197_*.json	Is the damping readable as a negative echo atom?
e198	03_increments_depth_targets	S3	established	scripts/e198_reading_depth.py	results/e198_*.json	At which level is a write best read?
e199	05_cancellation_contraction	S3	refuted	scripts/e199_canceller_readability.py	results/e199_*.json	Are the canceller blocks the unreadable blocks?
e200	02_readability_law	S3	established (z-score; atom filter refuted)	scripts/e200_null_certificate.py	results/e200_*.json	Can a per-atom null model certify the dual reading?
e202	02_readability_law	S3	established	scripts/e202_prior_atoms.py	results/e202_*.json	What are the atoms the dictionary selects on pure noise?
e203	03_increments_depth_targets	S3	established	scripts/e203_stability_depth.py	results/e203_*.json	Does a stable atom stay readable at later levels?
e204	02_readability_law	S3	superseded by e205	scripts/e204_zlaw_extreme.py	results/e204_*.json	Is the reading threshold the k-th extreme of the null z-scores?
e205	02_readability_law	S3	refuted (parameter-free threshold)	scripts/e205_zlaw_collapse.py	results/e205_*.json	Do recall curves in z minus z_k collapse across k?
e206	02_readability_law	S3	refuted	scripts/e206_never_neurons_z.py	results/e206_*.json	Are never-read neurons a static geometric class?
e207	05_cancellation_contraction	S3	established (LN/weights split retracted; e210)	scripts/e207_contraction_origin.py	results/e207_*.json	Where does the generic contraction come from, and when does it appear?
e208	05_cancellation_contraction	S3	established	scripts/e208_maintenance_causal.py	results/e208_*.json	Is a write's later presence along its direction caused by the write?
e209	05_cancellation_contraction	S3	mixed (clean in GELU; see e210)	scripts/e209_inout_alignment.py	results/e209_*.json	Are each neuron's read and write vectors anti-aligned?
e210	05_cancellation_contraction	S3	established	scripts/e210_jacobian_trace.py	results/e210_*.json	Can the contraction be derived from weights and pre-activations?
e211	03_increments_depth_targets	S3	refuted (kills H4a)	scripts/e211_reading_vs_dependence.py	results/e211_*.json	Does reading an atom mean its write caused the direction?
e212	05_cancellation_contraction	S3	supported (4/5)	scripts/e212_late_halflife.py	results/e212_*.json	Do late-born writes keep their causal footprint longer?
e213	05_cancellation_contraction	S3	established (cause: e216)	scripts/e213_gain_vs_norm.py	results/e213_*.json	Is the per-token contraction inversely proportional to the state norm?
e214	05_cancellation_contraction	S4	narrowed (band 0.2, not 0.05)	scripts/e214_direction_lottery.py	results/e214_*.json	Is the contraction the same along every direction?
e215	05_cancellation_contraction	S4	narrowed (three blocks)	scripts/e215_composition.py	results/e215_*.json	Is multi-block survival the product of single-block gains?
e216	05_cancellation_contraction	S4	established (gated: correlation only)	scripts/e216_frozen_norm.py	results/e216_*.json	Is the 1/norm dependence the normalisation's per-token scale?
e217	05_cancellation_contraction	S4	narrowed (born at steps 512-2000)	scripts/e217_contraction_birth.py	results/e217_*.json	When in training is the contraction born?
e218	03_increments_depth_targets	S4	refuted (MLP blocks; heads observable)	scripts/e218_hierarchical_provenance.py	results/e218_*.json	Are block or head labels observable where neuron labels fail?
e219	05_cancellation_contraction	S4	narrowed (GPT-2 only)	scripts/e219_zero_sum.py	results/e219_*.json	How much MLP write energy never reaches the state?
e220	05_cancellation_contraction	S4	refuted (monotone law)	scripts/e220_spectral_profile.py	results/e220_*.json	Does the contraction's strength follow the state's spectrum?
e221	06_descendants_fate_transport	S4	established	scripts/e221_perturbation_fate.py	results/e221_*.json	Does a random perturbation lose energy or only its direction?
e222	06_descendants_fate_transport	S4	established	scripts/e222_write_energy_fate.py	results/e222_*.json	Does a zeroed real write fade by loss or by decorrelation?
e223	06_descendants_fate_transport	S5	established	scripts/e223_footprint_ledger.py	results/e223_*.json	Where exactly does a zeroed write's energy go?
e224	06_descendants_fate_transport	S5	established	scripts/e224_collision.py	results/e224_*.json	Do distinct writes stay separate downstream or merge into shared directions?
e225	06_descendants_fate_transport	S5	established (4 models)	scripts/e225_footprint_dimension.py	results/e225_*.json	Is the footprint cloud high-dimensional or funnelled into a subspace?
e226	06_descendants_fate_transport	S6	narrowed	scripts/e226_additivity.py	results/e226_*.json	Do two writes' descendants add and scale linearly?
e227	06_descendants_fate_transport	S6	established	scripts/e227_descendant_identity.py	results/e227_*.json	Does a neuron keep a recognisable descendant after its direction fades?
e228	06_descendants_fate_transport	S6	established	scripts/e228_path_decomposition.py	results/e228_*.json	Are descendants carried by MLPs, attention, or both interacting?
e229	06_descendants_fate_transport	S6	supported (Pythia)	scripts/e229_dispersal_training.py	results/e229_*.json	Is dispersal architectural or learned?
e230	06_descendants_fate_transport	S6	mixed	scripts/e230_descendant_dictionary.py	results/e230_*.json	Can the descendant signature be read from the state itself?
e231	06_descendants_fate_transport	S7	established	scripts/e231_signature_source.py	results/e231_*.json	Is the signature the write vector's image or its context's?
e232	06_descendants_fate_transport	S7	supported (end narrowed: e252)	scripts/e232_provenance_curve.py	results/e232_*.json	When does the descendant chart overtake the native read?
e233	06_descendants_fate_transport	S7	established	scripts/e233_weight_robustness.py	results/e233_*.json	Is the signature robust to perturbing every weight?
e234	06_descendants_fate_transport	S7	supported (SmolLM2 weak)	scripts/e234_cross_corpus.py	results/e234_*.json	Does the signature transfer across corpora without refitting?
e235	06_descendants_fate_transport	S7	established	scripts/e235_path_identity.py	results/e235_*.json	Which transport path carries the neuron's identity?
e236	06_descendants_fate_transport	S8	refuted	scripts/e236_transported_wdd.py	results/e236_*.json	Does a transported native dictionary restore sparse reading at depth?
e237	06_descendants_fate_transport	S8	established	scripts/e237_capacity.py	results/e237_*.json	Does provenance capacity keep growing with the number of candidates?
e238	06_descendants_fate_transport	S8	narrowed (e282, e285)	scripts/e238_separation_geometry.py	results/e238_*.json	Does transport preserve the angle between nearby writes?
e239	06_descendants_fate_transport	S8	supported (Pythia)	scripts/e239_cross_checkpoint.py	results/e239_*.json	Does the signature belong to the vector or the downstream network?
e240	06_descendants_fate_transport	S8	supported	scripts/e240_transported_coherence.py	results/e240_*.json	Why does the transported dictionary decode worse than the native one?
e241	06_descendants_fate_transport	S9	established (mid: 3/5)	scripts/e241_superposition.py	results/e241_*.json	Do several simultaneous writes stay individually decodable?
e242	06_descendants_fate_transport	S9	established	scripts/e242_zero_shot.py	results/e242_*.json	Can an unseen neuron's descendant be predicted from its write vector?
e243	06_descendants_fate_transport	S9	supported (Pythia)	scripts/e243_phase_diagram.py	results/e243_*.json	In what order does training build readability, dispersal and scrambling?
e244	06_descendants_fate_transport	S9	refuted	scripts/e244_linearization_variability.py	results/e244_*.json	Does gating make the MLP linearisation more context-dependent?
e245	06_descendants_fate_transport	S10	established	scripts/e245_frontier.py	results/e245_*.json	Is transport compositional where sparse decomposition is not?
e246	06_descendants_fate_transport	S10	supported (4 models: logs)	scripts/e246_datafree_chart.py	results/e246_*.json	Can the descendant chart be built without any data?
e247	06_descendants_fate_transport	S10	established	scripts/e247_injected_prominence.py	results/e247_*.json	Is the native chart's failure on injected writes a prominence effect?
e248	06_descendants_fate_transport	S11	narrowed (e275b)	scripts/e248_transport_operator.py	results/e248_*.json	Can one fitted linear operator transport, compose and invert descendants?
e249	06_descendants_fate_transport	S11	established	scripts/e249_dimension_location.py	results/e249_*.json	How many dimensions carry provenance, and where is the native coordinate lost?
e250	06_descendants_fate_transport	S11	supported (mechanism: e257, e290)	scripts/e250_massive_boundary.py	results/e250_*.json	Where do massive-activation neurons depart from vector transport?
e251	07_descendants_function	S12	narrowed (provenance only)	scripts/e251_sparse_vs_dense.py	results/e251_*.json	Is the descendant recoded from sparse to dense coordinates?
e252	07_descendants_function	S12	refuted	scripts/e252_phase_profile.py	results/e252_*.json	Do birth, transport and scrambling regimes change at one block?
e253	07_descendants_function	S12	refuted	scripts/e253_massive_state_variable.py	results/e253_*.json	Does a within-token variable explain the massive neuron's anomaly?
e254	07_descendants_function	S12	established	scripts/e254_functional_bridge.py	results/e254_*.json	Does descendant geometry predict logit-footprint geometry?
e255	07_descendants_function	S13	established	scripts/e255_functional_neighbours.py	results/e255_*.json	Are descendant-space neighbours also functional neighbours?
e256	07_descendants_function	S13	established	scripts/e256_functional_additivity.py	results/e256_*.json	Does the logit footprint compose like the state descendant?
e257	07_descendants_function	S13	refuted	scripts/e257_receiver_provenance.py	results/e257_*.json	Does the massive neuron's effect migrate to other positions?
e258	07_descendants_function	S13	refuted (Pythia only)	scripts/e258_coupling_training.py	results/e258_*.json	When does descendant-function coupling appear during training (Pythia)?
e259	07_descendants_function	S14	established	scripts/e259_matched_pairs.py	results/e259_*.json	Does descendant similarity predict function with write similarity controlled?
e260	07_descendants_function	S14	established	scripts/e260_depthwise_geometry.py	results/e260_*.json	Where in depth does functional geometry move into descendant space?
e261	07_descendants_function	S14	refuted	scripts/e261_compensation_neighbourhood.py	results/e261_*.json	Are the neurons compensating a removed write its descendant neighbours?
e262	07_descendants_function	S14	refuted	scripts/e262_interchangeability.py	results/e262_*.json	Are neurons with similar descendants interchangeable under substitution?
e263	07_descendants_function	S14	narrowed (e286)	scripts/e263_functional_dimension.py	results/e263_*.json	How many descendant dimensions does function need versus identity?
e264	07_descendants_function	S15	refuted (population averages)	scripts/e264_interaction_classes.py	results/e264_*.json	Do descendant-similar neurons interact at co-active tokens?
e265	07_descendants_function	S15	established	scripts/e265_neighbourhood_tracking.py	results/e265_*.json	Are functional neighbours descendant neighbours; when does the coordinate change?
e266	07_descendants_function	S15	mixed	scripts/e266_transition_split.py	results/e266_*.json	Does attention or the MLP build the descendant-logit correspondence?
e267	07_descendants_function	S15	established	scripts/e267_lineage.py	results/e267_*.json	Do a write's successors form stable lineages or a hub graph?
e268	07_descendants_function	S16	established (ladder narrowed, e286)	scripts/e268_sufficiency.py	results/e268_*.json	Is the descendant a sufficient statistic for the write's function?
e269	07_descendants_function	S16	established	scripts/e269_direct_descendant.py	results/e269_*.json	Does the injected descendant causally carry the write's effect?
e270	07_descendants_function	S16	supported	scripts/e270_neighbourhood_stability.py	results/e270_*.json	Is descendant neighbourhood geometry stable across tokens, corpora, training?
e271	07_descendants_function	S17	established	scripts/e271_descendant_interpolation.py	results/e271_*.json	Do intervention effects vary continuously with descendant position?
e272	07_descendants_function	S17	narrowed (e286)	scripts/e272_capacity_ladder.py	results/e272_*.json	How many dimensions do reconstruction, identity, function, behaviour need?
e273	07_descendants_function	S18	refuted	scripts/e273_functional_null.py	results/e273_*.json	Does descendant space have functionally null directions?
